date,deepSleepTime,shallowSleepTime,wakeTime,start,stop,REMTime,naps
2022-04-13,87,270,11,2022-04-12 23:56:00+0000,2022-04-13 06:37:00+0000,33,
2022-04-14,82,252,22,2022-04-13 23:15:00+0000,2022-04-14 06:31:00+0000,80,
2022-04-15,52,359,2,2022-04-14 23:17:00+0000,2022-04-15 07:05:00+0000,55,
2022-04-16,81,255,4,2022-04-16 00:10:00+0000,2022-04-16 06:30:00+0000,40,
2022-04-17,61,252,12,2022-04-17 05:26:00+0000,2022-04-17 11:18:00+0000,27,
2022-04-18,70,276,5,2022-04-17 23:25:00+0000,2022-04-18 07:00:00+0000,104,
2022-04-19,42,235,6,2022-04-18 23:09:00+0000,2022-04-19 05:03:00+0000,71,
2022-04-20,49,271,20,2022-04-19 23:43:00+0000,2022-04-20 06:17:00+0000,54,
2022-04-21,79,245,21,2022-04-20 22:57:00+0000,2022-04-21 05:25:00+0000,43,
2022-04-22,74,323,14,2022-04-21 23:05:00+0000,2022-04-22 07:00:00+0000,64,
2022-04-23,95,300,17,2022-04-22 23:09:00+0000,2022-04-23 06:30:00+0000,29,
2022-04-24,34,215,7,2022-04-24 05:37:00+0000,2022-04-24 10:37:00+0000,44,
2022-04-25,105,282,7,2022-04-24 22:17:00+0000,2022-04-25 06:53:00+0000,122,
2022-04-26,57,213,15,2022-04-25 23:44:00+0000,2022-04-26 05:04:00+0000,35,
2022-04-27,75,244,3,2022-04-27 00:40:00+0000,2022-04-27 06:46:00+0000,44,
2022-04-28,100,295,17,2022-04-27 22:57:00+0000,2022-04-28 06:47:00+0000,58,
2022-04-29,60,341,6,2022-04-28 22:50:00+0000,2022-04-29 06:01:00+0000,24,
2022-04-30,68,287,12,2022-04-29 22:23:00+0000,2022-04-30 04:57:00+0000,27,
2022-05-01,0,0,0,2022-04-29 22:00:00+0000,2022-04-29 22:00:00+0000,0,
2022-05-02,104,302,13,2022-05-01 23:12:00+0000,2022-05-02 07:04:00+0000,53,
